,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,5,5,5,5,5,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-5000.0,,,,-5000.0,,-4000.0,
4,4,4,5,5,4,5,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,22,0,25,0,-5000.0,-5000.0,,,-5000.0,-5000.0,,-5000.0,,-5000.0
5,4,4,5,3,4,5,4,4,4,5,0,0,0,0,0,0,0,0,0,0,18,20,21,0,23,22,22,20,25,20,,,,-4000.0,,,,,,
6,4,4,5,3,4,5,4,4,4,5,0,0,0,0,0,0,0,0,0,0,18,20,21,25,23,22,22,20,25,20,,,,,,,,,,
7,4,4,5,3,4,5,4,4,4,5,0,0,1,0,0,0,3,0,0,0,18,20,10,25,23,22,9,20,15,20,,,,,,,,,,
8,4,4,5,3,4,5,4,4,4,5,1,2,1,0,0,3,3,3,0,3,7,8,10,25,13,9,9,7,15,7,,,,,,,,,,
9,4,4,5,3,4,5,4,4,4,5,1,2,1,5,0,3,3,3,0,3,7,8,10,10,13,9,9,7,15,7,,,,,,,,,,
10,4,4,4,3,4,4,4,4,3,5,1,2,1,5,0,3,3,3,0,3,7,8,10,10,13,9,9,7,15,7,,,-6050.0,,,-8045.0,-7045.0,,-3075.0,
11,4,4,4,3,3,4,4,4,3,5,1,2,1,5,0,3,3,3,0,3,7,8,21,10,13,22,22,7,21,7,,,,,-4065.0,,,-17035.0,,
12,4,4,4,3,3,4,4,4,3,4,1,2,1,5,0,3,3,3,0,3,7,8,21,10,18,22,22,24,21,7,-5035.0,-5040.0,,,,,,,,-8035.0
