,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,1,5,3,11,5,0,4,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000.0,,-5000.0,-5000.0,,-4000.0,-5000.0,-4000.0,-5000.0,
4,1,4,3,11,10,0,4,1,14,6,0,0,0,0,0,0,0,0,0,0,29,0,17,16,0,26,25,14,20,0,,-4000.0,,,-4000.0,,,,,-4000.0
5,1,4,3,11,10,0,4,1,14,6,0,0,0,0,0,0,0,0,0,0,29,23,17,16,24,26,25,14,20,17,,,,,,,,,,
6,1,4,3,11,10,0,4,1,14,6,0,0,0,0,0,0,0,0,0,0,29,23,17,16,24,26,25,14,20,17,,,,,,,,,,
7,1,4,3,3,10,0,4,1,1,6,0,0,0,0,0,8,1,1,1,0,19,23,7,6,24,8,14,3,9,17,,,,-9030.0,,,,,-11045.0,
8,1,4,3,3,1,0,4,1,1,6,0,0,0,0,8,8,1,1,1,1,19,13,7,26,6,8,14,3,25,6,,,,,-27030.0,,,,,
9,1,4,3,3,1,0,8,1,1,5,0,0,0,0,8,8,1,1,1,1,19,13,7,26,12,8,14,3,25,6,,,,,,,-5070.0,,,-17030.0
10,1,4,3,3,1,0,8,1,1,5,0,0,0,0,8,8,1,1,1,1,19,13,7,26,12,8,14,3,25,13,,,,,,,,,,
11,1,4,3,3,1,0,8,1,1,5,0,0,0,0,0,8,1,1,10,1,19,13,7,16,10,8,14,3,6,13,,,,,,,,,,
12,1,4,10,3,1,0,8,1,1,5,0,0,0,0,0,8,1,1,10,1,19,13,7,16,10,8,4,3,6,13,,-14065.0,-3035.0,,,,,,,
