,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,4,5,6,5,5,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000.0,-4000.0,-4000.0,-4000.0,-4000.0,-4000.0,-4000.0,-4000.0,-4000.0,-4000.0
4,4,5,6,5,5,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,25,23,23,27,21,27,22,26,28,28,,,,,,,,,,
5,4,5,6,5,5,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,25,23,23,27,21,27,22,26,28,28,,,,,,,,,,
6,4,5,6,5,5,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,25,23,23,27,21,27,22,26,28,28,,,,,,,,,,
7,4,5,6,5,5,4,4,4,5,4,1,1,0,0,0,0,2,0,2,0,14,12,13,17,11,17,10,16,16,18,,,,,,,,,,
8,4,5,5,5,5,4,4,4,5,4,1,1,0,0,0,0,2,0,2,0,14,12,13,17,11,17,10,16,16,18,,,-26065.0,,,,,,,
9,5,4,5,3,2,4,5,4,4,4,1,1,0,0,0,0,2,0,2,0,14,12,29,17,11,17,10,16,16,18,-25070.0,-25060.0,,-24085.0,-24055.0,-24085.0,-26050.0,-24080.0,-26080.0,-24090.0
10,5,4,5,3,2,4,5,4,4,4,1,1,0,0,0,0,2,0,2,0,24,27,29,27,29,22,22,22,25,27,,,,,,,,,,
11,5,4,5,3,2,4,5,4,4,4,1,1,0,0,0,0,2,0,2,0,24,27,19,27,29,22,22,22,25,27,,,,,,,,,,
12,5,4,5,3,2,4,5,4,4,4,3,0,0,0,0,0,2,1,1,2,12,18,19,17,19,12,12,11,16,15,,,,,,,,,,
