,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,3,0,5,5,5,5,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000.0,-5000.0,,,,-5000.0,,-5000.0,-5000.0,
4,3,0,10,7,8,5,6,2,5,6,0,0,0,0,0,0,0,0,0,0,23,20,0,0,0,15,0,29,23,0,,,-5000.0,-4000.0,-5000.0,,-4000.0,,,-4000.0
5,3,0,10,7,8,5,6,2,5,6,0,0,0,0,0,0,0,0,0,0,23,20,12,25,16,15,29,29,23,27,,,,,,,,,,
6,3,0,10,7,8,5,6,2,5,6,0,0,0,0,0,0,0,0,0,0,23,20,12,25,16,15,29,29,23,27,,,,,,,,,,
7,3,0,10,7,8,5,6,2,5,6,3,10,0,0,0,0,0,10,6,0,10,0,12,25,16,5,29,9,7,27,,,,,,,,,,
8,3,0,4,7,8,5,6,2,5,6,3,10,2,7,1,0,10,10,6,16,10,0,0,8,5,5,9,9,7,1,,,-10000.0,,,,,,,
9,3,0,4,7,4,5,6,2,5,5,3,10,2,7,1,0,10,10,6,16,10,0,29,8,5,5,9,9,7,1,,,,,-9025.0,,,,,-72005.0
10,3,0,4,5,4,5,5,2,4,5,3,10,2,7,1,0,10,10,6,6,10,0,29,8,27,5,9,9,7,26,,,,-13040.0,,,-116045.0,,-11035.0,
11,3,0,4,5,4,5,5,2,4,5,3,10,2,7,1,0,0,10,6,6,10,0,29,13,27,5,27,9,29,26,,,,,,-4025.0,,,,
12,1,3,4,5,4,5,5,6,4,5,3,10,2,7,1,0,0,10,6,6,10,0,19,13,27,21,27,9,29,26,-5050.0,-60000.0,,,,,,-11045.0,,
